,SubjectID,StimulusType,response,RT
17,1007,0,0,0
18,1007,1,1,393
19,1007,0,0,0
20,1007,1,1,273
21,1007,1,1,395
22,1007,1,1,310
23,1007,1,1,341
24,1007,1,1,291
25,1007,1,1,324
26,1007,1,1,361
27,1007,1,1,308
28,1007,1,1,308
29,1007,1,1,327
30,1007,1,1,306
31,1007,0,1,311
32,1007,1,1,528
33,1007,1,1,309
34,1007,1,1,290
35,1007,0,0,0
36,1007,1,1,259
37,1007,1,1,409
38,1007,1,1,311
39,1007,1,1,308
40,1007,1,1,445
41,1007,0,0,0
42,1007,1,1,259
43,1007,1,1,310
44,1007,1,1,412
45,1007,1,1,278
46,1007,0,0,0
47,1007,1,1,356
48,1007,1,1,322
49,1007,1,1,345
50,1007,1,1,306
51,1007,1,1,324
52,1007,0,0,0
53,1007,0,0,0
54,1007,1,1,412
55,1007,1,1,426
56,1007,1,1,358
57,1007,1,1,475
58,1007,1,1,242
59,1007,1,1,375
60,1007,0,0,0
61,1007,1,1,274
62,1007,1,1,259
63,1007,1,1,361
64,1007,1,1,291
65,1007,1,1,292
66,1007,0,0,0
67,1007,1,1,327
68,1007,1,1,409
69,1007,0,1,276
70,1007,1,1,393
71,1007,0,0,0
72,1007,0,0,0
73,1007,1,1,393
74,1007,0,0,0
75,1007,1,1,312
76,1007,1,1,462
77,1007,1,1,480
78,1007,1,1,324
79,1007,1,1,379
80,1007,1,1,462
81,1007,0,0,0
82,1007,1,1,397
83,1007,1,1,392
84,1007,1,1,495
85,1007,1,1,340
86,1007,1,1,359
87,1007,1,1,324
88,1007,0,0,0
89,1007,1,1,373
90,1007,1,1,392
91,1007,1,1,359
92,1007,1,1,325
93,1007,1,1,358
94,1007,1,1,326
95,1007,1,1,363
96,1007,1,1,361
97,1007,0,0,0
98,1007,1,1,412
99,1007,0,0,0
0,1008,1,1,1253
1,1008,1,1,340
2,1008,1,1,414
3,1008,0,0,0
4,1008,1,1,462
5,1008,1,1,570
6,1008,1,1,327
7,1008,1,1,341
8,1008,1,1,344
9,1008,1,1,291
10,1008,1,1,412
11,1008,0,0,0
12,1008,0,0,0
13,1008,1,1,359
14,1008,1,1,396
15,1008,1,1,361
16,1008,1,1,340
17,1008,1,1,310
18,1008,1,1,393
19,1008,1,1,377
20,1008,1,1,376
21,1008,1,1,362
22,1008,0,0,0
23,1008,1,1,378
24,1008,1,1,357
25,1008,0,0,0
26,1008,1,1,460
27,1008,1,0,0
28,1008,0,0,0
29,1008,0,0,0
30,1008,1,1,342
31,1008,1,1,362
32,1008,1,1,359
33,1008,0,0,0
34,1008,1,1,425
35,1008,0,0,0
36,1008,1,1,308
37,1008,1,1,390
38,1008,1,1,343
39,1008,0,0,0
40,1008,1,1,461
41,1008,1,1,394
42,1008,1,1,409
43,1008,1,1,342
44,1008,0,0,0
45,1008,1,1,345
46,1008,1,1,392
47,1008,1,1,375
48,1008,1,1,295
49,1008,1,1,410
50,1008,1,1,361
51,1008,1,1,309
52,1008,1,1,395
53,1008,1,1,275
54,1008,1,1,322
55,1008,1,1,395
56,1008,1,1,345
57,1008,1,1,359
58,1008,1,1,293
59,1008,1,1,309
60,1008,1,1,307
61,1008,1,1,460
62,1008,0,0,0
63,1008,1,1,325
64,1008,1,1,396
65,1008,0,0,0
66,1008,0,0,0
67,1008,1,1,375
68,1008,1,1,343
69,1008,1,1,341
70,1008,0,0,0
71,1008,0,0,0
72,1008,1,1,309
73,1008,1,1,359
74,1008,1,1,345
75,1008,1,1,293
76,1008,1,1,293
77,1008,1,1,308
78,1008,1,1,309
79,1008,0,0,0
80,1008,1,1,345
81,1008,1,1,339
82,1008,1,1,310
83,1008,1,1,378
84,1008,1,1,310
85,1008,1,1,309
86,1008,1,1,291
87,1008,1,1,290
88,1008,1,1,308
89,1008,1,1,360
90,1008,0,0,0
91,1008,0,0,0
92,1008,1,1,441
93,1008,1,1,292
94,1008,1,1,510
95,1008,1,1,360
96,1008,1,1,326
97,1008,1,1,292
98,1008,1,1,309
99,1008,0,0,0
