,Subject,Time,Task,ReactionTime,Performance
147,3283.0,Infinite,Absolute,1.708252205993189,0.48484848484848486
148,3283.0,Infinite,Pointing,1.5165240499708388,0.6111111111111112
149,3283.0,Infinite,Relative,1.0311883754200406,0.4722222222222222
150,3334.0,3sec,Absolute,2.161094983418783,0.3333333333333333
151,3334.0,3sec,Pointing,1.9200643987366652,0.5757575757575758
152,3334.0,3sec,Relative,2.026115894317626,0.4482758620689655
153,3334.0,Infinite,Absolute,2.161094983418783,0.3333333333333333
154,3334.0,Infinite,Pointing,6.181940698623659,0.5666666666666667
155,3334.0,Infinite,Relative,4.49630559153027,0.6388888888888888
156,3422.0,3sec,Absolute,2.1692365949804135,0.7272727272727273
157,3422.0,3sec,Pointing,2.06301998347044,0.4375
158,3422.0,3sec,Relative,1.78326584233178,0.5277777777777778
159,3422.0,Infinite,Absolute,2.1692365949804135,0.7272727272727273
160,3422.0,Infinite,Pointing,6.074033310919095,0.6060606060606061
161,3422.0,Infinite,Relative,4.397149721781414,0.6666666666666666
162,3497.0,3sec,Absolute,1.9426992084040786,0.45454545454545453
163,3497.0,3sec,Pointing,2.122316837310791,0.5
164,3497.0,3sec,Relative,1.8967892169952405,0.4666666666666667
165,3497.0,Infinite,Absolute,1.9426992084040786,0.45454545454545453
166,3497.0,Infinite,Pointing,4.143015788661109,0.5
167,3497.0,Infinite,Relative,1.9308280746142066,0.5277777777777778
168,3574.0,3sec,Absolute,1.9825659014961936,0.6363636363636364
169,3574.0,3sec,Pointing,1.9390918322971893,0.5714285714285714
170,3574.0,3sec,Relative,1.9300180822610868,0.5
171,3574.0,Infinite,Absolute,1.9825659014961936,0.6363636363636364
172,3574.0,Infinite,Pointing,6.012043277422587,0.5
173,3574.0,Infinite,Relative,4.195661265509469,0.6571428571428571
174,3599.0,3sec,Absolute,2.128733612596989,0.53125
175,3599.0,3sec,Pointing,1.4863859925951288,0.5357142857142857
176,3599.0,3sec,Relative,1.6518126256538166,0.45454545454545453
177,3599.0,Infinite,Absolute,2.128733612596989,0.53125
178,3599.0,Infinite,Pointing,5.674976964791615,0.4444444444444444
179,3599.0,Infinite,Relative,5.786814788292193,0.6206896551724138
180,3608.0,3sec,Absolute,1.6192947485867675,0.4411764705882353
181,3608.0,3sec,Pointing,1.7495830564787886,0.45454545454545453
182,3608.0,3sec,Relative,1.7753062452588764,0.42857142857142855
183,3608.0,Infinite,Absolute,1.6192947485867675,0.4411764705882353
184,3608.0,Infinite,Pointing,1.6975290709071698,0.5555555555555556
185,3608.0,Infinite,Relative,1.879401200347477,0.4166666666666667
186,3791.0,3sec,Absolute,1.7787021636962905,0.5428571428571428
